"","01[PQC_TK-CMV]","14[E8850_TK-CMV]","15[E8850_TK-CMV]","16[E8850_TK-CMV]","01[PQC_K-CMV]","11[HA259_K-CMV]","12[HA298_K-CMV]","13[HA334_K-CMV]"
"neg_00021_C00245",26.3024588156737,26.3852276102322,26.1996883861469,26.3132518799946,26.7135468581026,26.7794609441325,26.9560112476723,26.8363037287473
"neg_00083_C01879",22.297856382119,22.5857502019855,21.6764640698965,22.4774469969559,22.6804253451736,23.2986985808057,22.8112975432453,22.6771213520975
"neg_00096_C00025|C00979",24.9913030643216,24.9278435273825,24.8185601441917,25.0071637053547,25.2048565601884,24.9388672765507,25.4513138481246,25.454055254597
"neg_00123_C00209",19.8536240181173,20.1252068318042,19.8008664350768,20.1793426346919,19.4557961506786,20.7390858478033,16.8739080403822,16.6408953247644
"neg_00135_C00158|C00311",24.3066273382261,24.2033182448393,24.0576085348402,24.3176671022508,23.6203269134917,24.011362849458,23.2218638727813,23.6294476883102
"neg_00188_C00049",23.757926234851,23.8465417858832,23.7698066106875,21.0392846267339,23.9154703821516,24.0931931381794,24.336206232528,24.1810787678721
"neg_00192_C03547",24.7526957873146,24.8919678384003,24.5374342310989,24.7720981082823,25.0696482375062,25.1802580415222,25.2049319624897,25.3393322487915
"neg_00196_C01601",22.177610734006,22.252757440984,22.2521242845664,22.3558134337628,23.3187212346357,23.0375936908489,22.4962399292484,22.6687121774027
"neg_00197_C00249",23.1610282289647,22.8128237403357,23.4457669377026,22.8073890288339,21.761040025705,22.2698519700393,21.4297595619398,21.9624907215783
"neg_00201_C00186|C02154",25.7432425138642,25.7847068743178,25.5058841472419,25.797086640519,25.7020634626417,25.774310215705,25.8657882715387,25.6893035429131
"neg_00202_C01530",19.7825857218288,19.3305664326386,19.9046771113884,19.5335911757686,18.9112774387977,18.9640158969648,18.5923756949431,19.1531510230962
"neg_00213_C06423",19.1201941312658,19.4983978109427,18.9310233799035,19.4064558836032,20.5040346221522,20.194077278434,19.7634755547855,19.8345605711911
"neg_00229_C06424",20.7144789364987,20.551896093017,20.7445079526174,20.6273740676771,19.2260924759934,19.9717780735926,18.876897327945,19.384629588141
"neg_00230_C17714",18.6505440855687,18.9550724158898,18.5040103644407,18.9048494197461,19.5416024515997,19.5156739527963,18.9074675665558,18.9583292004501
"neg_00233_C00042|C02170",19.9435537081952,20.1107180141561,20.1954907974113,19.9734103842102,19.8875366422489,20.1592065011193,20.1942749865181,19.2697555026885
"neg_00236_C02679",17.9974826678269,18.2263117134235,18.2246350972404,18.3042860609591,17.9551085523196,18.4799717625591,17.8412436680156,17.8622023922567
"neg_00241_C01571",17.4186612693475,17.7251315030438,17.6786058126157,17.823627233204,18.3986072270423,18.6022919311676,18.0999125021051,18.1221012034905
"neg_00259_C00064",24.1241626728289,23.9986719463981,24.0449577203281,24.0845241073557,23.8068367807688,23.9572213815218,23.8678110859215,24.0971777457255
"neg_00269_C07086",21.0087203912987,20.7824897922512,21.4043523943575,20.8880748157996,20.0693388909948,20.7315850774305,19.8889854147007,20.2031328747748
"neg_00277_C01384",18.359796949217,17.7976537388455,17.6214393951299,18.2912234452715,18.6011360345151,17.6669503684504,19.6800052283937,19.5300141377961
"neg_00278_|C01712|C00712",19.9977500780771,20.1306502665734,19.7139395602144,20.0716042256638,20.0777491453832,20.9936863142364,19.5433377643718,19.8721269914919
"neg_00284_C08356|C00137|C00936|C01487||C19891",20.8726969084921,20.9528690176365,20.649592424142,20.7761877160936,21.0564216095772,21.337201281764,21.390498447762,20.7385555605448
"neg_00287_C01697|C00392|C00794",15.8013197358811,15.546449296006,15.9670407566513,15.8588276976761,16.2725923966322,15.3421943160608,16.3904809859683,17.0569570369276
"neg_00293_C00791",17.492079526686,17.6025741829809,17.3035234395334,17.4498116954756,16.8682014580344,18.3672191287956,16.2669044391001,16.022527252134
"neg_00295_C01551",18.0401127516115,18.240120542619,17.7087365962528,18.2153593857691,17.8471385598437,17.7850870296258,18.5572298430117,18.4801522533924
"neg_00299_C01727",13.692456417439,13.4487098735198,15.1494871605001,13.6472097349128,12.2171937593993,13.1648596372915,12.3047959839941,12.2780572167887
"neg_00305_C00407|C00123|C01933",21.2940931350562,21.3271727050485,21.0788661150867,21.178435231675,21.8693147822155,21.6609570568246,22.121257180353,22.0285326213651
"neg_00319_C04025",18.7869172945831,18.455014309797,19.4207054620796,18.6556662162822,17.5238930291383,17.7577484608623,17.755167831488,17.2409801488111
"neg_00326_C00262",25.1240714153484,25.1823037330198,25.0008675833889,25.1646577572107,25.0547676142304,25.1803629776333,25.2903821878203,25.325821902902
"neg_00327_C00587",15.5009692112918,15.4676816795476,15.1808447338229,15.4941489270623,15.6157135525494,15.8507845474857,15.8953307550152,15.9348216882848
"neg_00330_C00183||C01799",21.3313462812358,21.323975145365,20.5521705849261,21.2318639969005,21.9171101969476,21.7906396946041,22.2438309672596,20.1430762388643
"neg_00333_C00163",15.3148290167995,15.6198646565319,15.3261318188387,15.52211352551,15.3552921179005,16.0730429924734,15.6833479208024,15.542739714307
"neg_00337_C00785",16.1619802203204,16.170209987541,17.3736701689099,16.2175573098888,16.1963015298125,16.2714553016412,17.3486655315482,16.715011195992
"neg_00341_C03196",18.7295607722954,18.126029218148,20.3770486801267,18.0341702632963,20.4375427450564,18.33472782721,21.2068935888706,20.4825411837881
"neg_00369_C00366",13.8056605707266,14.2634318883779,13.4693982602761,14.152510563256,17.8487408871725,15.4186851696285,18.8543942160155,19.1934552716346
"neg_00375_C00148",20.5678222628439,20.5601941808151,20.446782908277,20.5245130786492,21.2107540567735,21.0797165805629,21.5497576404878,21.3435262799946
"neg_00385_C00065",20.9306844499067,20.9533103669291,20.7517494186514,20.7583328522725,21.7382403620579,21.5241991575245,22.0126931920526,22.1167865795706
"neg_00386_C00385",23.446145229006,23.4810832211509,23.1214453280794,23.5482781290075,25.6817218895614,24.1956615077498,26.0939405976371,26.0912370949658
"neg_00389_C15923|C08356|C00936|C00267|C01487",17.8943117085266,17.7479673761016,17.732720128806,17.8735929427766,17.1933473286124,17.4482470147574,17.6452319328161,17.3841909130441
"neg_00395_C08261",17.9242929834043,18.3121140204465,17.8815372917459,18.412909161782,14.7230508434697,16.8259372933171,16.1255210577412,16.7314888918417
"neg_00417_C00213|C00041|C00133",21.7071490062324,21.6264723721408,21.5845048720378,21.5864512385254,21.9082211637421,21.6494775961051,22.1786358809139,22.1794257730072
"neg_00424_C00188|C00263|C05519",19.9766589343348,19.9537703451563,19.8969445428591,19.8478795791459,20.4473885581172,20.2273470261567,20.7146134566373,20.5801980843526
"neg_00432_C00079",20.0331170830198,19.9545867339847,20.231869238081,19.9844117124686,20.9627690752871,20.9786206763703,21.5539584723614,21.4819481169368
"neg_00439_C03761",17.8180879560154,17.4246986319966,18.2246388801894,17.6901500124006,17.662442006858,17.5199158437987,18.4001037352354,17.9763725862644
"neg_00447_C03739|C01585",20.1396743862268,20.079669190181,20.1877044331005,19.9938594348902,19.7427954956106,20.4266881799486,19.1042019407775,19.1553175355059
"neg_00448_C03067|C00539|C00633",17.9213186136821,18.0521168607527,17.9304721097238,18.1747576741861,18.5257990830625,18.7342774554329,18.5937823825155,18.7416446522489
"neg_00453_C00671|C00233",17.7782986802601,17.3751319171292,18.4410452096467,17.4106741262128,17.5645296252005,17.1793313223849,18.1965008376117,18.0252145602252
"neg_00481_C00506",22.9456639587822,22.875988349199,23.1275553060101,22.8578001174676,22.3117986044677,23.2058728159549,19.7190940504071,20.0948995782048
"neg_00490_||C18218",15.8945305038249,15.800656646904,16.229124898665,15.809274766198,15.0448201878683,15.5345903628514,15.0980305983001,14.7953287277453
"neg_00494_||C06104",16.5562934311135,16.3450757204684,15.5484710623121,16.5080052111273,15.4408742726626,15.6934730106414,15.9864936111292,16.4063767335002
"neg_00495_C00327",19.7730462404906,19.6153831230701,19.5618645346625,19.6717235952339,19.5106053485317,19.0830956848662,20.0708109997628,19.3919251257094
"neg_00508_C00346",22.4003995891113,22.2868741667927,22.1863436919355,22.2711416211955,22.2088848376685,22.0977915438487,22.6193932742544,22.5553914600699
"neg_00511_C01157",15.8882136783431,15.7536668853159,16.6635415732074,15.8732971021784,16.9554214514454,16.9841021045278,16.9810473112599,17.1590889865665
"neg_00516_C08278",15.8336122238704,15.7716140990825,16.5744499785914,15.8228737484286,14.5193457351378,14.8989735896613,15.2711668694647,15.635859415608
"neg_00520_C05942",15.358789108993,15.3069382309926,14.7415086753418,15.2111094980138,15.3881631126273,15.5395088619933,15.1018976246833,15.0433235548158
"neg_00524_C00153",23.9570823793896,23.9123803692972,23.5613194869148,23.9033393366774,24.2800721778074,24.0163363226759,24.6178111976432,24.4515030107839
"neg_00527_C01620",21.926354755448,22.2251278869713,21.5729761274018,21.9051843793575,21.8310614247583,22.0259707021025,21.856355504703,21.4339994309077
"neg_00534_C00093|C02979",22.0207635718384,22.1099997376303,21.8353048810938,22.0540641349508,21.8573810494606,21.4572003994082,20.071755233887,19.1774446172004
"neg_00542_C00294",23.6775075932303,22.1789697029673,23.47144899746,22.5377473877002,23.4582502067908,21.1448572508503,23.6005375601723,23.9409207209767
"neg_00543_C00111",21.8882019856651,21.8238184982852,21.6574864380995,21.9726513457545,22.0718281155335,21.6141468341784,22.6675655511127,22.3011908186268
"neg_00546_C00147",19.1094654490101,20.1766044888831,19.1018760618934,19.1292313076459,20.0236393708049,20.437838889629,18.6634908106917,19.7052277346305
"neg_00550_C00020",19.3923364324202,19.127149717928,19.2697510754688,19.3721520536313,19.1775019093391,19.3661185433538,19.4824933993263,19.1081557388429
"neg_00554_C00300",20.611268604062,20.5055373054678,20.5136145237955,20.6095532369794,20.9110121173149,20.8354542514854,21.2771583946988,21.0346862724786
"neg_00559_C01595",20.3747409918544,20.7177400115745,20.1136436296154,20.5086821012047,20.8113404847702,21.3977194433134,20.4836283295423,20.6320581667532
"neg_00560_C00037",20.9973479165215,20.9615681137055,20.9249995182847,20.991291766367,20.9555728243937,20.973531418172,21.1969490775339,21.1086334564888
"neg_00561_C00122",21.0867363340256,20.9403024965317,21.1958250135326,20.985039591999,20.3876340155604,20.239563570122,20.8448491045334,20.3506087167548
"neg_00570_C03736|C00231",19.8868230776247,19.5943913078683,19.7827824856904,19.7169510671165,19.0378764628618,19.725585996471,19.1101121595137,18.4909677415741
"neg_00571_C00446|C00275||C00103",19.9597267573351,19.2353008818209,20.0702676065828,19.8347149729529,19.5191097978289,18.2015380090468,20.097709464747,20.0197923582223
"neg_00574_C00152",21.1762680470586,21.1534392813091,21.10339484312,21.1649301201877,21.5895020796505,21.478343298018,21.8254378617967,21.9659721387313
"neg_00576_C00106",18.9544416355121,19.1129525619092,18.799258974157,19.1579476410116,23.8897752848597,19.7994461643466,24.6163698861208,24.4575633948753
"neg_00577_C01019|C07326",20.1598350040959,20.0836853227727,19.9882906892623,20.0588089938289,19.8890472292664,20.2565469076793,19.5803985934552,19.746288240837
"neg_00586_C00130",20.2576007524301,19.97355862197,19.9016849582709,20.1963859169027,20.0845635942438,20.67223956307,19.9472411079977,19.7584289933323
"neg_00592_C01384",19.803672559091,19.7900630921139,19.6814491283113,19.7042787627632,17.7910428925421,19.0992158584925,17.5512581433017,16.5243630322619
"neg_00594_C01042",19.3832067742058,19.3747826429999,20.1181455128637,19.2375833561273,19.77604728714,18.3504312092273,20.0725869176191,20.3597903863842
"neg_00598_C08362",19.8863708078995,20.2231324296708,19.1618179922696,20.136204908366,20.3978357026786,20.7816104026913,20.4304874442198,20.4920075088996
"neg_00601_C00219",18.8986386329823,19.4163713548973,18.5746402604633,19.0096126874857,20.1839835284072,19.7824495002681,20.2675538047473,20.55819513819
"neg_00618_C00242",15.2134585038089,15.498029736272,14.8217451174488,15.1757859789918,16.5431026416699,16.7943324513285,16.9408995171528,16.2878338628021
"neg_00630_|C05984",20.050531142774,20.0448632948396,19.8646836067383,20.1115678941116,19.392857259304,18.264927501028,19.5520423241722,19.8256100653862
"neg_00647_C19910",19.9464086768563,19.8204664997481,19.8875684374236,19.56078623615,19.3214601533491,19.8770869323424,19.2861286676565,18.9921411010449
"neg_00656_C00864",19.1397199213039,19.0277003309573,18.9015943012602,19.135905281981,19.0186013719741,18.4251628571744,19.5101048397686,19.5065209616917
"neg_00684_C19806",18.3799699990636,18.0439849164044,18.5860687199677,18.1926954678087,16.6823292554781,16.4712293823329,17.0647996724731,16.6309539365824
"neg_00694_C00956",18.5799115484286,18.4376144393563,18.5162517362033,18.5355892904701,18.2221085981143,17.5528686629221,18.8649256267969,18.2570060043017
"neg_00707_C00105",16.005542648792,16.1000118881115,15.7385036247912,16.116582382224,18.829565521898,16.8419316588014,19.5742023246906,18.9161947732083
"neg_00714_C00116",18.1834517579787,18.0551814075096,18.1989835084257,18.1589366118443,18.3434212455645,18.1154436911837,18.643493865246,18.2205268644355
"neg_00718_C00258",17.2799452315999,15.9278292472765,17.2364290098869,15.4305660344018,17.1535322710165,16.6553998151595,17.4792915101047,17.1235822200185
"neg_00731_C00606",16.5064246956928,16.4012745804759,17.0205337631122,16.1566894751102,17.5513132137169,17.4940349391277,17.9899253267341,19.1985615078683
"neg_00733_C00624",17.5997690961657,17.7353820133878,17.5875432287445,17.7850122987927,16.9157717734618,17.3105911005622,17.4584685911874,16.4079709657804
"neg_00749_C00144",15.0347956345256,14.9982154998298,14.9942236647941,15.257073132654,17.6914965074701,15.8097859316655,18.1119061567767,17.920475328591
"neg_00750_C00379|C00474|C00532",18.0176264522605,17.9586772123602,17.85153705078,17.8993388317181,17.7993151191734,17.7378544827592,18.1408815292475,17.5433310438127
"neg_00756_C01586",15.9170163863515,15.7621769763046,15.2006889315394,16.0451812480055,16.0512021377424,16.2296113953294,16.982300780573,15.7404095301629
"neg_00759_C00588",17.7767426270228,17.7556335913689,17.5571314278208,17.5487380014501,18.3851884228598,18.4208962987202,18.662311223691,18.6563421575045
"neg_00762_C00715",17.5912036839343,17.2150580567625,17.6138856386756,17.6493053984879,16.8385883055774,17.2520440041003,17.040220986178,17.2122234346249
"neg_00790_C00055",15.7607570542608,15.5808217519107,15.741954528063,15.5222136556267,17.335911329978,15.9843400983708,15.4029164109184,17.671954124097
"neg_00797_C01216",17.3698104172186,18.20596012954,16.1096852563197,16.7580115566822,15.7698377805378,14.3741057275914,15.4945499231306,15.031367000269
